"","unix","app","event","rEvent","time","duration","rDuration"
"1816",1571224655958,"Settings",1,"Move to foreground",2019-10-16 11:17:35,4.333,4S
"1817",1571224660291,"Settings",2,"Move to background",2019-10-16 11:17:40,0.016,0S
"1818",1571224660307,"Settings",1,"Move to foreground",2019-10-16 11:17:40,1.229,1S
"1819",1571224661536,"Settings",2,"Move to background",2019-10-16 11:17:41,0.01,0S
"1820",1571224661546,"Settings",1,"Move to foreground",2019-10-16 11:17:41,0.919,1S
"1821",1571224662465,"Settings",2,"Move to background",2019-10-16 11:17:42,0.014,0S
"1822",1571224662479,"Settings",1,"Move to foreground",2019-10-16 11:17:42,1.345,1S
"1823",1571224663824,"Settings",2,"Move to background",2019-10-16 11:17:43,0.015,0S
"1824",1571224663839,"Settings",1,"Move to foreground",2019-10-16 11:17:43,0.694,1S
"1825",1571224664533,"Settings",2,"Move to background",2019-10-16 11:17:44,0.014,0S
"1838",1571224690767,"Google",11,"Standby bucket changed",2019-10-16 11:18:10,0,0S
"1848",1571224719571,"System UI",11,"Standby bucket changed",2019-10-16 11:18:39,0,0S
"1858",1571224719893,"com.quicinc.cne.CNEService.CNEServiceApp",11,"Standby bucket changed",2019-10-16 11:18:39,0,0S
"1891",1571224719897,"FQC",11,"Standby bucket changed",2019-10-16 11:18:39,0,0S
"1899",1571224719900,"AutoRegistration",11,"Standby bucket changed",2019-10-16 11:18:39,0,0S
"1911",1571224719900,"DbgCfgTool",11,"Standby bucket changed",2019-10-16 11:18:39,0,0S
"1914",1571224719900,"Maps",11,"Standby bucket changed",2019-10-16 11:18:39,0,0S
"1924",1571224719904,"Google Play services",11,"Standby bucket changed",2019-10-16 11:18:39,0,0S
"1925",1571224719904,"Carrier Services",11,"Standby bucket changed",2019-10-16 11:18:39,0,0S
"1944",1571224719914,"CustManager",11,"Standby bucket changed",2019-10-16 11:18:39,0,0S
"1945",1571224719914,"Settings",11,"Standby bucket changed",2019-10-16 11:18:39,0,0S
"1952",1571224719916,"LocationServices",11,"Standby bucket changed",2019-10-16 11:18:39,0,0S
"1956",1571224719922,"Phone Services",11,"Standby bucket changed",2019-10-16 11:18:39,0,0S
"1957",1571224719922,"Shell",11,"Standby bucket changed",2019-10-16 11:18:39,0,0S
"1963",1571224719923,"QMMI",11,"Standby bucket changed",2019-10-16 11:18:39,0,0S
"1964",1571224719923,"Fused Location",11,"Standby bucket changed",2019-10-16 11:18:39,0,0S
"1965",1571224719923,"ConfDialer",11,"Standby bucket changed",2019-10-16 11:18:39,0,0S
"1968",1571224719923,"RetailDemoApp",11,"Standby bucket changed",2019-10-16 11:18:39,0,0S
"1972",1571224719923,"Bluetooth",11,"Standby bucket changed",2019-10-16 11:18:39,0,0S
"1977",1571224719924,"Android Setup",11,"Standby bucket changed",2019-10-16 11:18:39,0,0S
"1978",1571224720006,"Settings",1,"Move to foreground",2019-10-16 11:18:40,0.33,0S
"1981",1571224720336,"Settings",2,"Move to background",2019-10-16 11:18:40,2.097,2S
"1987",1571224728026,"Settings",1,"Move to foreground",2019-10-16 11:18:48,0.002,0S
"1988",1571224728028,"Settings",2,"Move to background",2019-10-16 11:18:48,6.842,7S
"1989",1571224734870,"Settings",1,"Move to foreground",2019-10-16 11:18:54,11.772,12S
"1991",1571224735625,"System UI",12,"Notifiation interuption",2019-10-16 11:18:55,0,0S
"1992",1571224736872,"Google",11,"Standby bucket changed",2019-10-16 11:18:56,0,0S
"1996",1571224736876,"Print Spooler",11,"Standby bucket changed",2019-10-16 11:18:56,0,0S
"2006",1571224746642,"Settings",2,"Move to background",2019-10-16 11:19:06,0.031,0S
"2057",1571224873618,"WhatsApp",11,"Standby bucket changed",2019-10-16 11:21:13,0,0S
"2091",1571225355968,"System UI",11,"Standby bucket changed",2019-10-16 11:29:15,0,0S
"2094",1571225373414,"Print Spooler",11,"Standby bucket changed",2019-10-16 11:29:33,0,0S
"2103",1571226667577,"WhatsApp",12,"Notifiation interuption",2019-10-16 11:51:07,0,0S
"2104",1571226668375,"WhatsApp",12,"Notifiation interuption",2019-10-16 11:51:08,0,0S
"2105",1571226668408,"WhatsApp",12,"Notifiation interuption",2019-10-16 11:51:08,0,0S
"2106",1571226668419,"WhatsApp",12,"Notifiation interuption",2019-10-16 11:51:08,0,0S
"2110",1571226774168,"WhatsApp",10,"Notification seen",2019-10-16 11:52:54,0,0S
"2111",1571226774168,"WhatsApp",10,"Notification seen",2019-10-16 11:52:54,0,0S
"2112",1571226774168,"WhatsApp",10,"Notification seen",2019-10-16 11:52:54,1.268,1S
"2122",1571227778853,"Chrome",11,"Standby bucket changed",2019-10-16 12:09:38,0,0S
"2123",1571227778858,"Chrome",1,"Move to foreground",2019-10-16 12:09:38,15.544,16S
"2125",1571227794533,"Chrome",2,"Move to background",2019-10-16 12:09:54,0.469,0S
"2126",1571227795002,"Chrome",1,"Move to foreground",2019-10-16 12:09:55,0.016,0S
"2127",1571227795018,"Chrome",2,"Move to background",2019-10-16 12:09:55,2007.426,33M 27S
"2136",1571229802812,"Chrome",2,"Move to background",2019-10-16 12:43:22,0.011,0S
"2137",1571229802823,"Chrome",1,"Move to foreground",2019-10-16 12:43:22,3.628,4S
"2148",1571231053720,"Chrome",2,"Move to background",2019-10-16 13:04:13,0.01,0S
"2149",1571231053730,"Chrome",1,"Move to foreground",2019-10-16 13:04:13,3.114,3S
"2150",1571231056844,"WhatsApp",7,"User interaction",2019-10-16 13:04:16,0.027,0S
"2151",1571231056871,"WhatsApp",1,"Move to foreground",2019-10-16 13:04:16,0.001,0S
"2152",1571231056872,"WhatsApp",2,"Move to background",2019-10-16 13:04:16,0.376,0S
"2153",1571231057248,"WhatsApp",1,"Move to foreground",2019-10-16 13:04:17,1.191,1S
"2155",1571231058439,"WhatsApp",2,"Move to background",2019-10-16 13:04:18,0.006,0S
"2156",1571231058445,"WhatsApp",1,"Move to foreground",2019-10-16 13:04:18,64.666,1M 5S
"2161",1571231211823,"WhatsApp",2,"Move to background",2019-10-16 13:06:51,0.406,0S
"2162",1571231212229,"WhatsApp",1,"Move to foreground",2019-10-16 13:06:52,0.012,0S
"2163",1571231212241,"WhatsApp",2,"Move to background",2019-10-16 13:06:52,35.073,35S
"2165",1571231240877,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:07:20,0,0S
"2166",1571231240907,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:07:20,0,0S
"2167",1571231240915,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:07:20,0,0S
"2168",1571231245339,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:07:25,0,0S
"2169",1571231245377,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:07:25,0,0S
"2170",1571231245384,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:07:25,0,0S
"2172",1571231247683,"WhatsApp",2,"Move to background",2019-10-16 13:07:27,0.006,0S
"2173",1571231247689,"WhatsApp",1,"Move to foreground",2019-10-16 13:07:27,2.505,3S
"2174",1571231250194,"WhatsApp",1,"Move to foreground",2019-10-16 13:07:30,121.092,2M 1S
"2177",1571231371431,"WhatsApp",2,"Move to background",2019-10-16 13:09:31,0.38,0S
"2178",1571231371811,"WhatsApp",1,"Move to foreground",2019-10-16 13:09:31,0.008,0S
"2179",1571231371819,"WhatsApp",2,"Move to background",2019-10-16 13:09:31,37.573,38S
"2181",1571231377056,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:09:37,0,0S
"2182",1571231377086,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:09:37,0,0S
"2183",1571231377094,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:09:37,0,0S
"2184",1571231387662,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:09:47,0,0S
"2185",1571231387703,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:09:47,0,0S
"2186",1571231387712,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:09:47,0,0S
"2188",1571231410074,"WhatsApp",2,"Move to background",2019-10-16 13:10:10,0.007,0S
"2189",1571231410081,"WhatsApp",1,"Move to foreground",2019-10-16 13:10:10,2.224,2S
"2190",1571231412305,"WhatsApp",1,"Move to foreground",2019-10-16 13:10:12,39.329,39S
"2192",1571231451634,"WhatsApp",2,"Move to background",2019-10-16 13:10:51,0.019,0S
"2195",1571231451819,"Chrome",1,"Move to foreground",2019-10-16 13:10:51,1.452,1S
"2196",1571231453271,"Chrome",2,"Move to background",2019-10-16 13:10:53,0.032,0S
"2201",1571231548837,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:12:28,0,0S
"2202",1571231548885,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:12:28,0,0S
"2203",1571231548897,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:12:28,0,0S
"2204",1571231549158,"WhatsApp",10,"Notification seen",2019-10-16 13:12:29,0.705,1S
"2205",1571231549863,"WhatsApp",10,"Notification seen",2019-10-16 13:12:29,0,0S
"2206",1571231549863,"WhatsApp",10,"Notification seen",2019-10-16 13:12:29,1.294,1S
"2208",1571231551193,"WhatsApp",1,"Move to foreground",2019-10-16 13:12:31,0.01,0S
"2209",1571231551203,"WhatsApp",7,"User interaction",2019-10-16 13:12:31,0.903,1S
"2210",1571231552106,"WhatsApp",2,"Move to background",2019-10-16 13:12:32,0.015,0S
"2211",1571231552121,"WhatsApp",1,"Move to foreground",2019-10-16 13:12:32,1.132,1S
"2212",1571231553253,"WhatsApp",2,"Move to background",2019-10-16 13:12:33,0.013,0S
"2213",1571231553266,"WhatsApp",1,"Move to foreground",2019-10-16 13:12:33,1.085,1S
"2214",1571231554351,"WhatsApp",2,"Move to background",2019-10-16 13:12:34,0.013,0S
"2215",1571231554364,"WhatsApp",1,"Move to foreground",2019-10-16 13:12:34,1.011,1S
"2216",1571231555375,"WhatsApp",2,"Move to background",2019-10-16 13:12:35,0.017,0S
"2245",1571231819694,"Settings",1,"Move to foreground",2019-10-16 13:16:59,0.567,1S
"2246",1571231820261,"Settings",2,"Move to background",2019-10-16 13:17:00,0.009,0S
"2261",1571231880395,"Settings",1,"Move to foreground",2019-10-16 13:18:00,3.461,3S
"2262",1571231883856,"Settings",2,"Move to background",2019-10-16 13:18:03,0.027,0S
"2263",1571231883883,"Settings",1,"Move to foreground",2019-10-16 13:18:03,1.314,1S
"2264",1571231885197,"Settings",2,"Move to background",2019-10-16 13:18:05,0.013,0S
"2265",1571231885210,"Settings",1,"Move to foreground",2019-10-16 13:18:05,0.426,0S
"2266",1571231885636,"Settings",2,"Move to background",2019-10-16 13:18:05,0.018,0S
"2280",1571231922578,"System UI",11,"Standby bucket changed",2019-10-16 13:18:42,0,0S
"2290",1571231980487,"System UI",11,"Standby bucket changed",2019-10-16 13:19:40,0,0S
"2300",1571231980780,"com.quicinc.cne.CNEService.CNEServiceApp",11,"Standby bucket changed",2019-10-16 13:19:40,0,0S
"2333",1571231980789,"FQC",11,"Standby bucket changed",2019-10-16 13:19:40,0,0S
"2340",1571231980789,"AutoRegistration",11,"Standby bucket changed",2019-10-16 13:19:40,0,0S
"2352",1571231980789,"DbgCfgTool",11,"Standby bucket changed",2019-10-16 13:19:40,0,0S
"2355",1571231980789,"Maps",11,"Standby bucket changed",2019-10-16 13:19:40,0,0S
"2364",1571231980790,"Google Play services",11,"Standby bucket changed",2019-10-16 13:19:40,0,0S
"2365",1571231980790,"Carrier Services",11,"Standby bucket changed",2019-10-16 13:19:40,0,0S
"2383",1571231980792,"CustManager",11,"Standby bucket changed",2019-10-16 13:19:40,0,0S
"2384",1571231980792,"Settings",11,"Standby bucket changed",2019-10-16 13:19:40,0,0S
"2391",1571231980793,"LocationServices",11,"Standby bucket changed",2019-10-16 13:19:40,0,0S
"2395",1571231980793,"Phone Services",11,"Standby bucket changed",2019-10-16 13:19:40,0,0S
"2396",1571231980793,"Shell",11,"Standby bucket changed",2019-10-16 13:19:40,0,0S
"2402",1571231980793,"QMMI",11,"Standby bucket changed",2019-10-16 13:19:40,0,0S
"2403",1571231980793,"Fused Location",11,"Standby bucket changed",2019-10-16 13:19:40,0,0S
"2404",1571231980793,"ConfDialer",11,"Standby bucket changed",2019-10-16 13:19:40,0,0S
"2407",1571231980793,"RetailDemoApp",11,"Standby bucket changed",2019-10-16 13:19:40,0,0S
"2411",1571231980793,"Bluetooth",11,"Standby bucket changed",2019-10-16 13:19:40,0,0S
"2416",1571231980793,"Android Setup",11,"Standby bucket changed",2019-10-16 13:19:40,0,0S
"2417",1571231980919,"Settings",1,"Move to foreground",2019-10-16 13:19:40,0.303,0S
"2420",1571231981222,"Settings",2,"Move to background",2019-10-16 13:19:41,2.186,2S
"2426",1571231988951,"Settings",1,"Move to foreground",2019-10-16 13:19:48,0.001,0S
"2427",1571231988952,"Settings",2,"Move to background",2019-10-16 13:19:48,9.868,10S
"2430",1571232014091,"Settings",2,"Move to background",2019-10-16 13:20:14,0.007,0S
"2431",1571232014098,"Settings",1,"Move to foreground",2019-10-16 13:20:14,2.434,2S
"2432",1571232016532,"Settings",1,"Move to foreground",2019-10-16 13:20:16,1.213,1S
"2434",1571232017342,"System UI",12,"Notifiation interuption",2019-10-16 13:20:17,0,0S
"2435",1571232017745,"Settings",2,"Move to background",2019-10-16 13:20:17,0.012,0S
"2436",1571232017757,"Settings",1,"Move to foreground",2019-10-16 13:20:17,0.212,0S
"2437",1571232017969,"Settings",2,"Move to background",2019-10-16 13:20:17,0.203,0S
"2439",1571232018718,"Google",11,"Standby bucket changed",2019-10-16 13:20:18,0,0S
"2443",1571232018759,"Print Spooler",11,"Standby bucket changed",2019-10-16 13:20:18,0,0S
"2464",1571232156884,"WhatsApp",11,"Standby bucket changed",2019-10-16 13:22:36,0,0S
"2493",1571232183708,"Settings",1,"Move to foreground",2019-10-16 13:23:03,2.811,3S
"2494",1571232186519,"Settings",2,"Move to background",2019-10-16 13:23:06,0.028,0S
"2495",1571232186547,"Settings",1,"Move to foreground",2019-10-16 13:23:06,1.313,1S
"2496",1571232187860,"Settings",2,"Move to background",2019-10-16 13:23:07,0.016,0S
"2497",1571232187876,"Settings",1,"Move to foreground",2019-10-16 13:23:07,0.585,1S
"2498",1571232188461,"Settings",2,"Move to background",2019-10-16 13:23:08,0.019,0S
"2508",1571232249505,"System UI",11,"Standby bucket changed",2019-10-16 13:24:09,0,0S
"2518",1571232249821,"com.quicinc.cne.CNEService.CNEServiceApp",11,"Standby bucket changed",2019-10-16 13:24:09,0,0S
"2550",1571232249824,"FQC",11,"Standby bucket changed",2019-10-16 13:24:09,0,0S
"2557",1571232249824,"AutoRegistration",11,"Standby bucket changed",2019-10-16 13:24:09,0,0S
"2569",1571232249828,"DbgCfgTool",11,"Standby bucket changed",2019-10-16 13:24:09,0,0S
"2572",1571232249828,"Maps",11,"Standby bucket changed",2019-10-16 13:24:09,0,0S
"2581",1571232249828,"Google Play services",11,"Standby bucket changed",2019-10-16 13:24:09,0,0S
"2582",1571232249828,"Carrier Services",11,"Standby bucket changed",2019-10-16 13:24:09,0,0S
"2600",1571232249829,"CustManager",11,"Standby bucket changed",2019-10-16 13:24:09,0,0S
"2601",1571232249829,"Settings",11,"Standby bucket changed",2019-10-16 13:24:09,0,0S
"2608",1571232249829,"LocationServices",11,"Standby bucket changed",2019-10-16 13:24:09,0,0S
"2612",1571232249829,"Phone Services",11,"Standby bucket changed",2019-10-16 13:24:09,0,0S
"2613",1571232249829,"Shell",11,"Standby bucket changed",2019-10-16 13:24:09,0,0S
"2619",1571232249829,"QMMI",11,"Standby bucket changed",2019-10-16 13:24:09,0,0S
"2620",1571232249829,"Fused Location",11,"Standby bucket changed",2019-10-16 13:24:09,0,0S
"2621",1571232249830,"ConfDialer",11,"Standby bucket changed",2019-10-16 13:24:09,0,0S
"2624",1571232249830,"RetailDemoApp",11,"Standby bucket changed",2019-10-16 13:24:09,0,0S
"2628",1571232249830,"Bluetooth",11,"Standby bucket changed",2019-10-16 13:24:09,0,0S
"2633",1571232249833,"Android Setup",11,"Standby bucket changed",2019-10-16 13:24:09,0,0S
"2634",1571232249931,"Settings",1,"Move to foreground",2019-10-16 13:24:09,0.317,0S
"2639",1571232250248,"Settings",2,"Move to background",2019-10-16 13:24:10,2.184,2S
"2643",1571232258023,"Settings",1,"Move to foreground",2019-10-16 13:24:18,0.002,0S
"2644",1571232258025,"Settings",2,"Move to background",2019-10-16 13:24:18,7.879,8S
"2645",1571232265904,"Settings",1,"Move to foreground",2019-10-16 13:24:25,0.984,1S
"2647",1571232266642,"System UI",12,"Notifiation interuption",2019-10-16 13:24:26,0,0S
"2648",1571232266888,"Settings",2,"Move to background",2019-10-16 13:24:26,0.013,0S
"2649",1571232266901,"Settings",1,"Move to foreground",2019-10-16 13:24:26,0.412,0S
"2650",1571232267313,"Settings",2,"Move to background",2019-10-16 13:24:27,0.283,0S
"2652",1571232268029,"Google",11,"Standby bucket changed",2019-10-16 13:24:28,0,0S
"2656",1571232268032,"Print Spooler",11,"Standby bucket changed",2019-10-16 13:24:28,0,0S
"2685",1571232423632,"WhatsApp",11,"Standby bucket changed",2019-10-16 13:27:03,0,0S
"2714",1571232514930,"Settings",1,"Move to foreground",2019-10-16 13:28:34,2.773,3S
"2715",1571232517703,"Settings",2,"Move to background",2019-10-16 13:28:37,0.036,0S
"2716",1571232517739,"Settings",1,"Move to foreground",2019-10-16 13:28:37,1.542,2S
"2717",1571232519281,"Settings",2,"Move to background",2019-10-16 13:28:39,0.019,0S
"2718",1571232519300,"Settings",1,"Move to foreground",2019-10-16 13:28:39,0.688,1S
"2719",1571232519988,"Settings",2,"Move to background",2019-10-16 13:28:39,0.013,0S
"2764",1571232656014,"Settings",1,"Move to foreground",2019-10-16 13:30:56,1.772,2S
"2765",1571232657786,"Settings",2,"Move to background",2019-10-16 13:30:57,0.035,0S
"2766",1571232657821,"Settings",1,"Move to foreground",2019-10-16 13:30:57,1.525,2S
"2767",1571232659346,"Settings",2,"Move to background",2019-10-16 13:30:59,0.012,0S
"2768",1571232659358,"Settings",1,"Move to foreground",2019-10-16 13:30:59,0.61,1S
"2769",1571232659968,"Settings",2,"Move to background",2019-10-16 13:30:59,0.008,0S
"2791",1571232706190,"System UI",11,"Standby bucket changed",2019-10-16 13:31:46,0,0S
"2801",1571232706472,"com.quicinc.cne.CNEService.CNEServiceApp",11,"Standby bucket changed",2019-10-16 13:31:46,0,0S
"2833",1571232706473,"FQC",11,"Standby bucket changed",2019-10-16 13:31:46,0,0S
"2840",1571232706473,"AutoRegistration",11,"Standby bucket changed",2019-10-16 13:31:46,0,0S
"2852",1571232706473,"DbgCfgTool",11,"Standby bucket changed",2019-10-16 13:31:46,0,0S
"2855",1571232706474,"Maps",11,"Standby bucket changed",2019-10-16 13:31:46,0,0S
"2864",1571232706474,"Google Play services",11,"Standby bucket changed",2019-10-16 13:31:46,0,0S
"2865",1571232706474,"Carrier Services",11,"Standby bucket changed",2019-10-16 13:31:46,0,0S
"2883",1571232706475,"CustManager",11,"Standby bucket changed",2019-10-16 13:31:46,0,0S
"2884",1571232706475,"Settings",11,"Standby bucket changed",2019-10-16 13:31:46,0,0S
"2891",1571232706475,"LocationServices",11,"Standby bucket changed",2019-10-16 13:31:46,0,0S
"2895",1571232706475,"Phone Services",11,"Standby bucket changed",2019-10-16 13:31:46,0,0S
"2896",1571232706475,"Shell",11,"Standby bucket changed",2019-10-16 13:31:46,0,0S
"2902",1571232706475,"QMMI",11,"Standby bucket changed",2019-10-16 13:31:46,0,0S
"2903",1571232706475,"Fused Location",11,"Standby bucket changed",2019-10-16 13:31:46,0,0S
"2904",1571232706475,"ConfDialer",11,"Standby bucket changed",2019-10-16 13:31:46,0,0S
"2907",1571232706476,"RetailDemoApp",11,"Standby bucket changed",2019-10-16 13:31:46,0,0S
"2911",1571232706476,"Bluetooth",11,"Standby bucket changed",2019-10-16 13:31:46,0,0S
"2916",1571232706476,"Android Setup",11,"Standby bucket changed",2019-10-16 13:31:46,0,0S
"2917",1571232706621,"Settings",1,"Move to foreground",2019-10-16 13:31:46,0.311,0S
"2920",1571232706932,"Settings",2,"Move to background",2019-10-16 13:31:46,2.125,2S
"2926",1571232714723,"Settings",1,"Move to foreground",2019-10-16 13:31:54,0.002,0S
"2927",1571232714725,"Settings",2,"Move to background",2019-10-16 13:31:54,9.801,10S
"2929",1571232725126,"Settings",1,"Move to foreground",2019-10-16 13:32:05,0.01,0S
"2930",1571232725136,"Settings",2,"Move to background",2019-10-16 13:32:05,31.289,31S
"2932",1571232756728,"Settings",2,"Move to background",2019-10-16 13:32:36,0.009,0S
"2933",1571232756737,"Settings",1,"Move to foreground",2019-10-16 13:32:36,2.518,3S
"2934",1571232759255,"Settings",1,"Move to foreground",2019-10-16 13:32:39,0.912,1S
"2936",1571232760112,"System UI",12,"Notifiation interuption",2019-10-16 13:32:40,0,0S
"2937",1571232760167,"Settings",2,"Move to background",2019-10-16 13:32:40,0.033,0S
"2940",1571232761079,"Google",11,"Standby bucket changed",2019-10-16 13:32:41,0,0S
"2941",1571232761415,"Print Spooler",11,"Standby bucket changed",2019-10-16 13:32:41,0,0S
"2979",1571232933035,"WhatsApp",11,"Standby bucket changed",2019-10-16 13:35:33,0,0S
"3009",1571233306195,"System UI",11,"Standby bucket changed",2019-10-16 13:41:46,0,0S
"3011",1571233361415,"Print Spooler",11,"Standby bucket changed",2019-10-16 13:42:41,0,0S
"3037",1571233814731,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:50:14,0,0S
"3038",1571233815211,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:50:15,0,0S
"3039",1571233815218,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:50:15,0,0S
"3043",1571233825527,"WhatsApp",10,"Notification seen",2019-10-16 13:50:25,3.943,4S
"3044",1571233829470,"WhatsApp",1,"Move to foreground",2019-10-16 13:50:29,0.001,0S
"3045",1571233829471,"WhatsApp",2,"Move to background",2019-10-16 13:50:29,0.003,0S
"3046",1571233829474,"WhatsApp",7,"User interaction",2019-10-16 13:50:29,0.463,0S
"3047",1571233829937,"WhatsApp",1,"Move to foreground",2019-10-16 13:50:29,282.465,4M 42S
"3053",1571234112402,"WhatsApp",2,"Move to background",2019-10-16 13:55:12,0.047,0S
"3054",1571234112449,"WhatsApp",1,"Move to foreground",2019-10-16 13:55:12,1.016,1S
"3055",1571234113465,"WhatsApp",2,"Move to background",2019-10-16 13:55:13,0.005,0S
"3056",1571234113470,"WhatsApp",1,"Move to foreground",2019-10-16 13:55:13,20.841,21S
"3057",1571234134028,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:55:34,0,0S
"3058",1571234134032,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:55:34,0,0S
"3059",1571234134311,"WhatsApp",10,"Notification seen",2019-10-16 13:55:34,0.757,1S
"3060",1571234135068,"WhatsApp",10,"Notification seen",2019-10-16 13:55:35,15.751,16S
"3061",1571234137988,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:55:37,0,0S
"3062",1571234137999,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:55:37,0,0S
"3063",1571234144163,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:55:44,0,0S
"3064",1571234144174,"WhatsApp",12,"Notifiation interuption",2019-10-16 13:55:44,0,0S
"3065",1571234150819,"WhatsApp",2,"Move to background",2019-10-16 13:55:50,0.014,0S
"3082",1571234928644,"Settings",1,"Move to foreground",2019-10-16 14:08:48,64.581,1M 5S
"3087",1571234993225,"Settings",2,"Move to background",2019-10-16 14:09:53,0.018,0S
"3090",1571234994901,"Settings",1,"Move to foreground",2019-10-16 14:09:54,4.261,4S
"3091",1571234999162,"Settings",2,"Move to background",2019-10-16 14:09:59,0.021,0S
"3092",1571234999183,"Settings",1,"Move to foreground",2019-10-16 14:09:59,1.636,2S
"3093",1571235000819,"Settings",2,"Move to background",2019-10-16 14:10:00,0.013,0S
"3094",1571235000832,"Settings",1,"Move to foreground",2019-10-16 14:10:00,0.831,1S
"3095",1571235001663,"Settings",2,"Move to background",2019-10-16 14:10:01,0.014,0S
"3098",1571235146622,"Google",11,"Standby bucket changed",2019-10-16 14:12:26,0,0S
"3099",1571235171735,"Google",11,"Standby bucket changed",2019-10-16 14:12:51,0,0S
"3103",1571235172108,"Settings",1,"Move to foreground",2019-10-16 14:12:52,1.505,2S
"3104",1571235173613,"Settings",2,"Move to background",2019-10-16 14:12:53,0.006,0S
"3114",1571235251317,"WhatsApp",1,"Move to foreground",2019-10-16 14:14:11,0.017,0S
"3115",1571235251334,"WhatsApp",2,"Move to background",2019-10-16 14:14:11,0.013,0S
"3116",1571235251347,"WhatsApp",1,"Move to foreground",2019-10-16 14:14:11,1.459,1S
"3117",1571235252806,"WhatsApp",2,"Move to background",2019-10-16 14:14:12,0.005,0S
"3118",1571235252811,"WhatsApp",1,"Move to foreground",2019-10-16 14:14:12,68.557,1M 9S
"3122",1571235321368,"WhatsApp",2,"Move to background",2019-10-16 14:15:21,0.016,0S
"3137",1571235429428,"Settings",1,"Move to foreground",2019-10-16 14:17:09,3.459,3S
"3138",1571235432887,"Settings",2,"Move to background",2019-10-16 14:17:12,0.021,0S
"3141",1571235433925,"Settings",1,"Move to foreground",2019-10-16 14:17:13,2.171,2S
"3142",1571235436096,"Settings",2,"Move to background",2019-10-16 14:17:16,0.012,0S
"3143",1571235436108,"Settings",1,"Move to foreground",2019-10-16 14:17:16,1.656,2S
"3144",1571235437764,"Settings",2,"Move to background",2019-10-16 14:17:17,0.013,0S
"3145",1571235437777,"Settings",1,"Move to foreground",2019-10-16 14:17:17,0.885,1S
"3146",1571235438662,"Settings",2,"Move to background",2019-10-16 14:17:18,0.018,0S
"3169",1571235617451,"System UI",11,"Standby bucket changed",2019-10-16 14:20:17,0,0S
"3179",1571235617743,"com.quicinc.cne.CNEService.CNEServiceApp",11,"Standby bucket changed",2019-10-16 14:20:17,0,0S
"3212",1571235617750,"FQC",11,"Standby bucket changed",2019-10-16 14:20:17,0,0S
"3220",1571235617757,"AutoRegistration",11,"Standby bucket changed",2019-10-16 14:20:17,0,0S
"3232",1571235617759,"DbgCfgTool",11,"Standby bucket changed",2019-10-16 14:20:17,0,0S
"3235",1571235617759,"Maps",11,"Standby bucket changed",2019-10-16 14:20:17,0,0S
"3245",1571235617770,"Google Play services",11,"Standby bucket changed",2019-10-16 14:20:17,0,0S
"3246",1571235617770,"Carrier Services",11,"Standby bucket changed",2019-10-16 14:20:17,0,0S
"3265",1571235617780,"CustManager",11,"Standby bucket changed",2019-10-16 14:20:17,0,0S
"3266",1571235617780,"Settings",11,"Standby bucket changed",2019-10-16 14:20:17,0,0S
"3273",1571235617781,"LocationServices",11,"Standby bucket changed",2019-10-16 14:20:17,0,0S
"3277",1571235617781,"Phone Services",11,"Standby bucket changed",2019-10-16 14:20:17,0,0S
"3278",1571235617781,"Shell",11,"Standby bucket changed",2019-10-16 14:20:17,0,0S
"3284",1571235617782,"QMMI",11,"Standby bucket changed",2019-10-16 14:20:17,0,0S
"3285",1571235617782,"Fused Location",11,"Standby bucket changed",2019-10-16 14:20:17,0,0S
"3286",1571235617782,"ConfDialer",11,"Standby bucket changed",2019-10-16 14:20:17,0,0S
"3289",1571235617782,"RetailDemoApp",11,"Standby bucket changed",2019-10-16 14:20:17,0,0S
"3293",1571235617783,"Bluetooth",11,"Standby bucket changed",2019-10-16 14:20:17,0,0S
"3298",1571235617783,"Android Setup",11,"Standby bucket changed",2019-10-16 14:20:17,0,0S
"3299",1571235617852,"Settings",1,"Move to foreground",2019-10-16 14:20:17,0.351,0S
"3302",1571235618203,"Settings",2,"Move to background",2019-10-16 14:20:18,2.536,3S
"3308",1571235625990,"Settings",1,"Move to foreground",2019-10-16 14:20:25,0.002,0S
